Run time (s),Round,Exception,deadline,Agreement,Discounted,#agreeing,min.util.,max.util.,Dist. to Pareto,Dist. to Nash,Social Welfare,Agent 1,Agent 2,Utility 1,Utility 2,Disc. Util. 1,Disc. Util. 2,Perceived. Util. 1,Perceived. Util. 2,Profile 1,Profile 2,Domain,Utility product
5.041,282,,1000rounds,Yes,No,2,0.8971,0.90386,0.00879,0.00879,1.80096,FSEGA2019,KakeSoba,0.897104627015906,0.903859078027257,0.897104627015906,0.903859078027257,0.816283034953111,0.904066007093527,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.810856161068583
4.413,181,,1000rounds,Yes,No,2,0.90158,0.91142,0.0,0.0,1.813,KakeSoba,FSEGA2019,0.901576205905346,0.911424085739105,0.901576205905346,0.911424085739105,0.893939781314955,0.853257246491829,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.8217182691914111
5.386,289,,1000rounds,Yes,No,2,0.8971,0.90386,0.00879,0.00879,1.80096,FSEGA2019,KakeSoba,0.897104627015906,0.903859078027257,0.897104627015906,0.903859078027257,0.807911057402866,0.900799297368506,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.810856161068583
0.74,35,,1000rounds,Yes,No,2,0.90158,0.91142,0.0,0.0,1.813,KakeSoba,FSEGA2019,0.901576205905346,0.911424085739105,0.901576205905346,0.911424085739105,0.898601733718624,0.959484346224677,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.8217182691914111
0.027,5,,1000rounds,Yes,No,2,0.63619,0.85601,0.04947,0.30088,1.4922,GaravelAgent,KakeSoba,0.636187739486571,0.856008137511015,0.636187739486571,0.856008137511015,0.406995230524642,0.854672918444117,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.5445818819852425
1.173,208,,1000rounds,Yes,No,2,0.77604,0.82091,0.0,0.16084,1.59695,KakeSoba,GaravelAgent,0.776041557988628,0.820912266263322,0.776041557988628,0.820912266263322,0.85990792325354,0.81206445137389,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.6370620340829638
0.006,5,,1000rounds,Yes,No,2,0.63619,0.85601,0.04947,0.30088,1.4922,GaravelAgent,KakeSoba,0.636187739486571,0.856008137511015,0.636187739486571,0.856008137511015,0.916803793493279,0.857896138168508,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.5445818819852425
0.003,2,,1000rounds,Yes,No,2,0.77604,0.82091,0.0,0.16084,1.59695,KakeSoba,GaravelAgent,0.776041557988628,0.820912266263322,0.776041557988628,0.820912266263322,0.999999999999999,0.779565565342833,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.6370620340829638
0.003,3,,1000rounds,Yes,No,2,0.49791,1.0,0.0,0.49165,1.49791,GaravelAgent,KakeSoba,0.497906520303068,1.0,0.497906520303068,1.0,0.354440578759783,1.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.497906520303068
0.025,4,,1000rounds,Yes,No,2,0.71202,0.80569,0.04645,0.21165,1.51771,KakeSoba,GaravelAgent,0.712021006571097,0.805691749183431,0.712021006571097,0.805691749183431,0.943702729049839,0.565121817053186,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.5736694502396144
4.162,1001,,1000rounds,Yes,No,2,0.64003,0.88843,0.05306,0.09585,1.52846,GaravelAgent,KakeSoba,0.888432177219105,0.640029792364265,0.888432177219105,0.640029792364265,0.557287157287157,0.638344942605969,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.5686230619152757
4.215,1001,,1000rounds,No,No,1,0.3,0.3,1.09666,1.16932,0.0,KakeSoba,GaravelAgent,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
0.01,6,,1000rounds,Yes,No,2,0.72129,0.85901,0.0,0.22752,1.5803,GaravelAgent,KakeSoba,0.721291460696978,0.859007409274599,0.721291460696978,0.859007409274599,0.596528087954912,0.856854530702458,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.6195947089852023
4.132,1001,,1000rounds,No,No,1,0.3,0.3,1.09666,1.16932,0.0,KakeSoba,GaravelAgent,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
1.241,952,,1000rounds,No,No,0,0.3,0.3,1.09666,1.16932,0.0,AuthenticAgent,TheNewDeal,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
1.522,952,,1000rounds,No,No,0,0.3,0.3,1.09666,1.16932,0.0,TheNewDeal,AuthenticAgent,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
2.212,952,,1000rounds,No,No,0,0.3,0.3,1.09666,1.16932,0.0,AuthenticAgent,TheNewDeal,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
2.296,952,,1000rounds,No,No,0,0.3,0.3,1.09666,1.16932,0.0,TheNewDeal,AuthenticAgent,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
2.409,952,,1000rounds,No,No,0,0.3,0.3,1.09666,1.16932,0.0,AuthenticAgent,TheNewDeal,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
2.521,952,,1000rounds,No,No,0,0.3,0.3,1.09666,1.16932,0.0,TheNewDeal,AuthenticAgent,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
2.272,952,,1000rounds,No,No,0,0.3,0.3,1.09666,1.16932,0.0,AuthenticAgent,TheNewDeal,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
